"vendor_project","kev_count","affected_products","ransomware_linked","pct_of_window","most_recent_kev"
"Microsoft","48","15","5","16.05","2026-09-08"
"Cisco","21","15","2","7.02","2026-09-16"
"Google","11","5","0","3.68","2026-09-16"
"Apple","10","3","0","3.34","2026-08-18"
"Fortinet","10","5","0","3.34","2026-09-09"
"Adobe","7","6","0","2.34","2026-09-08"
"Oracle","7","5","3","2.34","2026-08-24"
"Linux","6","1","0","2.01","2026-08-27"
"Synacor","6","2","0","2.01","2026-08-21"
"Ivanti","5","3","0","1.67","2026-06-11"
"SonicWall","5","2","2","1.67","2026-09-02"
"Broadcom","4","4","1","1.34","2026-08-18"
"JFrog","4","1","0","1.34","2026-09-11"
"Langflow","4","1","0","1.34","2026-07-21"
"SolarWinds","4","2","1","1.34","2026-06-05"
